股票代码_StkCd,证监会行业门类代码_CsrcICCd1
002404,C
002405,I
002406,C
002407,C
002408,C
002409,C
002410,I
002412,C
002414,C
002415,C
002416,F
002417,C
002418,C
002419,F
002420,C
002421,I
002422,C
002423,C
002424,C
002427,C
002428,C
002429,C
002430,C
002432,C
002433,C
002434,C
002435,C
002436,C
002438,C
002440,C
002441,F
002444,C
002445,C
002446,C
002447,A
002448,C
002449,C
002450,C
002455,C
002456,C
002457,C
002459,C
002460,C
002461,C
002462,F
002463,C
002465,C
002466,C
002467,I
002468,C
002469,M
002470,C
002471,C
002472,C
002473,C
002474,I
002475,C
002476,C
002478,C
002479,D
002480,C
002481,C
002483,C
002484,C
002485,C
002487,C
002488,C
002489,C
002491,C
002492,G
002493,C
002494,C
002495,C
002496,C
002497,C
002498,C
002499,C
002501,C
002502,C
002503,C
002504,C
002505,A
002508,C
002510,C
002513,C
002515,C
002516,C
002517,C
002518,C
002519,C
002520,C
002521,C
002522,C
002523,C
002526,C
002527,C
002530,C
002532,C
002533,C
002534,C
002535,C
002536,C
002537,C
002538,C
002539,C
002540,C
002541,C
002543,C
002544,I
002545,C
002546,C
002547,C
002548,C
002549,N
002550,C
002551,C
002554,B
002555,C
002556,F
002557,C
002560,C
002561,F
002562,C
002563,C
002564,C
002565,C
002566,C
002567,C
002568,C
002569,C
002570,C
002571,C
002572,C
002573,N
002574,C
002575,C
002576,C
002578,C
002580,C
002581,C
002582,C
002583,C
002585,C
002587,C
002588,C
002589,F
002590,C
002591,C
002593,C
002595,C
002596,C
002598,C
002599,C
002600,C
002601,C
002603,C
002604,C
002605,C
002606,C
002607,F
002608,C
002609,I
002610,C
002611,C
002613,C
002614,C
002615,C
002616,C
002618,C
002619,C
002621,C
002622,C
002623,C
002624,C
002626,C
002627,G
002629,B
002631,C
002632,C
002633,C
002634,C
002635,C
002636,C
002637,C
002638,C
002639,C
002640,F
002641,C
002642,I
002643,C
002644,C
002646,C
002648,C
002649,I
002650,C
002651,C
002653,C
002654,C
002655,C
002656,C
002657,I
002658,C
002661,C
002662,C
002664,C
002665,C
002666,C
002667,C
002668,C
002669,C
002671,C
002674,C
002676,C
002677,C
002678,C
002679,A
002680,C
002681,C
002682,G
002683,B
002684,C
002685,C
002686,C
002687,C
002689,C
002690,C
002691,C
002695,C
002696,A
002697,F
002698,C
002699,R
002700,D
002701,C
002702,C
300001,C
300003,C
300004,C
300005,C
300006,C
300007,C
300008,M
300012,M
300014,C
300015,Q
300017,I
300019,C
300020,I
300021,C
300022,F
300024,C
300026,C
300030,C
300031,C
300032,C
300033,I
300034,C
300035,C
300036,I
300038,C
300039,C
300040,C
300041,C
300042,C
300045,C
300046,C
300047,I
300048,C
300049,C
300050,I
300051,I
300052,I
300054,C
300057,C
300058,L
300059,I
300061,C
300062,C
300064,C
300065,C
300067,C
300068,C
300069,C
300070,N
300076,C
300077,C
300078,C
300079,C
300080,C
300082,C
300083,C
300084,B
300085,I
300086,C
300087,A
300088,C
300089,C
300090,C
300091,C
300092,C
300093,C
300094,A
300095,C
300096,I
300097,C
300098,I
300099,C
300100,C
300101,C
300102,C
300103,C
300104,I
300105,C
300106,A
300107,C
300108,C
300110,C
300111,C
300113,I
300114,C
300115,C
300116,C
300118,C
300119,C
300120,C
300121,C
300124,C
300127,C
300128,C
300129,C
300130,C
300131,C
300132,C
300134,C
300135,C
300137,C
300139,C
300141,C
300145,C
300146,C
300147,C
300148,R
300149,C
300151,C
300152,C
300153,C
300154,C
300155,C
300158,C
300161,C
300162,C
300163,C
300164,B
300165,C
300166,I
300167,I
300171,C
300172,N
300173,C
300174,C
300175,C
300176,C
300177,C
300178,L
300179,C
300180,C
300181,C
300182,I
300184,F
300185,C
300187,N
300188,I
300190,N
300191,B
300193,C
300195,C
300198,C
300199,C
300200,C
300201,C
300202,C
300203,C
300204,C
300205,C
300206,C
300209,I
300210,C
300211,C
300213,C
300214,C
300215,M
300217,C
300218,C
300220,C
300221,C
300222,C
300223,C
300225,C
300226,I
300227,C
300228,C
300229,I
300231,I
300232,C
300233,C
300234,C
300235,I
300236,C
300238,C
300239,C
300240,G
300241,C
300242,C
300245,I
300246,C
300249,C
300250,C
300251,R
300253,I
300254,C
300255,C
300257,C
300258,C
300259,C
300260,C
300261,C
300263,C
300264,I
300265,C
300266,C
300267,C
300270,C
300272,C
300273,C
300274,C
300275,I
300276,C
300277,I
300279,C
300281,C
300282,C
300283,C
300284,M
300285,C
300286,C
300287,I
300288,I
300290,I
300291,R
300293,C
300294,C
300295,I
300298,C
300300,I
300301,C
300302,I
300303,C
300304,C
300305,C
300306,C
300307,C
300308,C
300309,C
300310,I
300311,I
300312,I
300314,C
300316,C
300317,C
300320,C
300321,C
300322,C
300323,C
300325,C
300327,C
300328,C
300329,C
300330,I
300331,C
300333,I
300334,C
300335,D
300336,R
300337,C
300338,C
300339,I
300340,C
300342,C
300344,C
300346,C
300351,C
300354,C
300356,C
