item_id,item_name,item_type,beta
159901,易方达深100ETF,3,0.981825582143
159902,华夏中小板ETF,3,0.851160473271
159903,南方深成ETF,3,0.993430968684
159905,工银深红利ETF,3,0.980082648239
159906,大成深成长ETF,3,0.732009531065
159907,广发300ETF,3,0.849264127982
159908,博时深证200ETF,3,0.979788714572
159909,招商深证TMT50ETF,3,0.763240878521
159910,嘉实深证120ETF,3,0.987733490493
159911,鹏华深证民营ETF,3,0.856964512924
159912,汇添富300ETF,3,0.932237135578
159913,交银300价值ETF,3,1.02485367442
159915,易方达创业板ETF,3,0.717554106548
159916,建信深证60ETF,3,1.00103129227
159917,国泰300成长ETF,3,0.83813037201
159918,嘉实中创400ETF,3,0.816284777531
159919,嘉实沪深300ETF,3,0.996152822339
160105,南方积配,2,0.610874008725
160106,南方高增,2,0.711511196814
160123J,南方50债A,2,0.00253812636352
160211,国泰小盘,2,0.674260647843
160215,国泰价值,2,0.885044319386
160311,华夏蓝筹,2,0.704490595031
160314,华夏行业,2,0.640185646608
160415,华安深证300,2,0.895844611659
160416,华安石油,2,0.118689030079
160505,博时主题,2,0.903199491926
160512,博时卓越,2,0.724558053178
160513,博时稳健A,2,0.0472477750377
160607,鹏华价值,2,0.693841117743
160610,鹏华动力,2,0.573606079742
160611,鹏华治理,2,0.654908218514
160613,鹏华创新,2,0.78434888192
160615,鹏华300,2,0.9656888114
160616,鹏华500,2,0.852855619067
160617,鹏华丰润,2,0.0134865277117
160706,嘉实沪深300ETF联接,2,0.944374692703
160716,嘉实中证50,2,0.942593371484
160717,嘉实恒生H股,2,0.567953164994
160719,嘉实黄金,2,0.0875568950464
160805,长盛同智,2,0.505282773748
160806,长盛800,2,0.915419212429
160807,长盛300,2,0.934332745468
160910,大成创新,2,0.820534021657
160915,大成景丰,2,0.188477670078
160916,大成优选,2,0.830534843336
161005,富国天惠A,2,0.75906824819
161010,富国天丰,2,0.0836911569255
161015,富国天盈,2,0.00201920691615
161017,富国500,2,0.856905415706
161115,易方达岁丰,2,0.124722769688
161211J,国投金融,2,1.16694884454
161213,国投消费,2,0.681790599051
161216,国投双债A,2,0.0905221588042
161217,国投资源,2,0.939638704192
161219,国投产业,2,0.545684808174
161505,银河通利A,2,0.0155403512144
161607,融通巨潮,2,0.982198627259
161610,融通领先,2,0.760289578981
161614,融通添利,2,0.00693672004221
161706,招商成长,2,0.739487591515
161810,银华内需,2,0.810962967588
161811J,银华300,2,0.966408444219
161813,银华信用,2,0.0129614744319
161820,银华纯债,2,-0.00021964878276
161907,万家红利,2,0.974172409712
161908,万家添利,2,0.034109800299
162006,长城久富,2,0.574892024389
162207,泰达效率,2,0.472269421865
162307,海富通100,2,0.968142838311
162411,华宝油气,2,0.146162417124
162605,景顺鼎益,2,0.700186441264
162607,景顺资源,2,0.745865656815
162703,广发小盘,2,0.903374732001
162711,广发500ETF联接A,2,0.841678232751
162712,广发聚利,2,0.0715509289991
163001J,长信100,2,0.898452614319
163110,申万量化,2,0.794052834292
163302,大摩资源,2,0.484869184267
163402,兴全趋势,2,0.673107753831
163407,兴全300,2,0.952539371633
163409,兴全绿色,2,0.715944569922
163412,兴全轻资产,2,0.693807437963
163503,天治核心,2,0.672471074621
163801,中银中国,2,0.527616670461
163821,中银300,2,0.90546574427
164105,华富强债,2,0.0402081736806
164205J,天弘深成,2,0.96718192235
164606,华泰信用,2,0.00956757028673
164701,汇添富贵金,2,0.117211480899
164808,工银四季,2,0.039428238846
164902,交银添利,2,0.115227443486
165309,建信300,2,0.955160139606
165311,建信信用A,2,0.043184994446
165508,信诚深度,2,0.721025764001
165509,信诚强债,2,0.0235917630979
165512,信诚机遇,2,0.756015822206
165516,信诚周期,2,0.675928098581
165806,东吴100,2,0.936516137767
166001,中欧新趋势A,2,0.718960300156
166006J,中欧小盘,2,1.09068555893
166007,中欧300A,2,0.939868650758
166008,中欧强债A,2,0.0530820608641
166009,中欧新动力A,2,0.6968745158
