item_id,item_name,item_type,beta
159901,易方达深100ETF,3,1.03820568502
159902,华夏中小板ETF,3,0.903111350223
159903,南方深成ETF,3,1.03821809932
159905,工银深红利ETF,3,1.01318310948
159906,大成深成长ETF,3,0.768627606051
159907,广发300ETF,3,0.925116918712
159908,博时深证200ETF,3,1.01354875911
159909,招商深证TMT50ETF,3,0.856907145616
159910,嘉实深证120ETF,3,1.00897518555
159911,鹏华深证民营ETF,3,0.962911505272
159912,汇添富300ETF,3,0.994209176219
159913,交银300价值ETF,3,1.03928231871
159915,易方达创业板ETF,3,0.894139926387
159916,建信深证60ETF,3,1.01742100086
160105,南方积配,2,0.657238945284
160106,南方高增,2,0.78575337082
160123J,南方50债A,2,-0.0115812328095
160211,国泰小盘,2,0.739128721655
160215,国泰价值,2,0.907416352936
160311,华夏蓝筹,2,0.762847766647
160314,华夏行业,2,0.645703730402
160415,华安深证300,2,0.951171734383
160505,博时主题,2,0.837167714394
160512,博时卓越,2,0.735810736269
160513,博时稳健A,2,-0.0418455368681
160607,鹏华价值,2,0.661198948832
160610,鹏华动力,2,0.604905869284
160611,鹏华治理,2,0.726919261211
160613,鹏华创新,2,0.784766435547
160615,鹏华300,2,0.959134259301
160616,鹏华500,2,0.941965199082
160617,鹏华丰润,2,0.0158122031028
160716,嘉实中证50,2,0.856553439275
160717,嘉实恒生H股,2,0.587386862853
160719,嘉实黄金,2,0.0316978602698
160805,长盛同智,2,0.60212021641
160807,长盛300,2,0.934054151571
160910,大成创新,2,0.799737263919
160915,大成景丰,2,0.147819505979
161005,富国天惠A,2,0.809268337238
161010,富国天丰,2,0.0815996635894
161015,富国天盈,2,0.00508430867607
161017,富国500,2,0.940390967112
161115,易方达岁丰,2,0.114181398803
161210,国投新兴,2,0.281060288065
161211J,国投金融,2,1.07251736938
161213,国投消费,2,0.732735059015
161216,国投双债A,2,0.0692793950216
161217,国投资源,2,1.00878823041
161219,国投产业,2,0.588933269579
161607,融通巨潮,2,0.958374585118
161610,融通领先,2,0.784701487152
161706,招商成长,2,0.755748695522
161714,招商金砖,2,0.334698748247
161810,银华内需,2,0.880088303072
161811J,银华300,2,0.950339856939
161813,银华信用,2,0.0181812206334
161903J,万家公用,2,0.768868378613
161907,万家红利,2,0.949215505095
161908,万家添利,2,0.0637340776901
162006,长城久富,2,0.585800073478
162207,泰达效率,2,0.481924609805
162307,海富通100,2,0.941595485725
162411,华宝油气,2,0.164828716198
162605,景顺鼎益,2,0.725238537603
162607,景顺资源,2,0.818941767731
162703,广发小盘,2,0.945837754952
162711,广发500ETF联接A,2,0.920510144345
162712,广发聚利,2,0.0279363086692
163001J,长信100,2,0.866512972172
163110,申万量化,2,0.893276005332
163302,大摩资源,2,0.535895841651
163402,兴全趋势,2,0.661281371128
163407,兴全300,2,0.945445752315
163409,兴全绿色,2,0.757712883619
163503,天治核心,2,0.731582015685
163801,中银中国,2,0.555083443918
164105,华富强债,2,0.0428411909593
164205J,天弘深成,2,1.00429533504
164606,华泰信用,2,-0.00416821574659
164701,汇添富贵金,2,0.0387970388833
164808,工银四季,2,0.0259624480709
164902,交银添利,2,0.10227638614
165309,建信300,2,0.952373198876
165311,建信信用A,2,0.0378679080233
165508,信诚深度,2,0.760147302339
165509,信诚强债,2,0.0176402287696
165512,信诚机遇,2,0.814033191336
166001,中欧新趋势A,2,0.794032801298
166006J,中欧小盘,2,0.977528697157
166007,中欧300A,2,0.951515232184
166008,中欧强债A,2,0.0538767093751
166009,中欧新动力A,2,0.717653831695
